lyrics,audio,song_name,title,description,channelid,view,author,duration,likes,category,publishdate,tags,id
,True,00 Introduction To Chovisi,,,,0,,0,0,,1900-01-01 00:00:00,,
,True,00 Navkar,108 Navkar Mantra (Namokar mantra) | नवकार मंत्र | Original tune | CA Anjali Jain | Jain mantra,"Voice - CA Anjali Jain
This mantra has been composed in its most original form of chanting which is popular worldwide.
Play this mantra in your homes and work places, for your kids and elders and you will instantly feel the positive energy around, this composition is believed to be the most beneficial sequence of sounds for spiritual progress.
NAVKAR MANTRA - नवकार मंत्र जैन धर्म का सर्वाधिक महत्वपूर्ण मन्त्र है। इसे 'नवकार मन्त्र', 'नमस्कार मन्त्र' या 'पंच परमेष्ठि नमस्कार' भी कहा जाता है। इस मन्त्र में अरिहन्तों, सिद्धों, आचार्यों, उपाध्यायों और साधुओं का नमस्कार किया गया है।
If there is a single prayer or sutra that describes the essence of Jainism, then it is the Navkar Mantra. The Navkar Mantra on a basic level is simply the five-fold salutation to the five spiritual entities (panch-parmeshthi) of the universe.

Do like n share the video with your family n friends..
The video has been uploaded only for entertainment purpose.
Heartous thanks for watching the video.
Please leave your valuable feedbacks and don't forget to hit on like subscribe and share button.

You can contact us at 8319515831 or write us at anjalijain217@gmail.com for collaborations, Jain bhajan programs, bhakti, dedicated Customised songs for singing or dance performances, devotional songs, recording projects or any related stuff.

To follow CA Anjali Jain u can click on 
Facebook Page - 
https://m.facebook.com/caanjalichopda/

Personal Facebook account 1 - 
https://www.facebook.com/profile.php?id=100001265698483
Personal Facebook account 2 -
https://www.facebook.com/caanjalijainbhajansinger

Instagram Personal Account - 
https://instagram.com/ca_anjali_jain__?igshid=l3gfokym8mli
Instagram Page - 
https://instagram.com/ca_anjali_jain_bhajan_singer?igshid=9h2cxiterkdc

Work Place - Swaranjali Music Academy, Raipur(online \u0026 offline classes)
FB - https://m.facebook.com/SwaranjaliMusicSchool/
Instagram - https://instagram.com/schoolswaranjalimusic?igshid=oft441i8wrv7









#navkarchannel #navkarmantra #navkar #namoarihantanam #omnamoarihantanam
#namaskarmahamangalsutra #panchparmeshthinamaskar #108navkar #108navkarmantra 
#jainsutra #jainmantras #jainstotra #jainstuti 
#jainmantra #jain #jainism #jainchannel #jaindharm #jainstavan #jainbhajan #jainstavans #jains #jaindharm #jaindharam #jainismofficial #chants #chanting #chantforpeaceofmind
#chantforlove #chantformoney #chantforgrowth #mantra #mantras #mantraforhappiness #mantraforpeace #mantraforwealth #chantingforhappiness #mantraforpeace #mantraforpeaceofmind #jainbhajannew #anjalijain #caanjalijain #caanjalijainsongs #manglacharan #manglacharansongs",UCzlktSLm2RDphVV2z8fvQ_g,5828243,CA Anjali Jain,3840,22949,Music,2023-04-09 12:10:41,"navkarmantra,navkar,108navkar,108navkarmantra,namaskarmantra,namoarihantanam,newnavkarmantra,newmanglacharan,manglacharan,newjainbhajan,jainbhajan,jainstavan,jainstotra,jainmantra,navkarmantradhun,manglacharansong,mantra,bhaktigeet,chants,chantforhappiness,chantformoney,chantforpeace,jainsongsnew,anjalijainbhajan,caanjalijainsongs,jainsinger,bhajansongs,mantraforhappiness,mantraformoney,mantraforpeace,meditation,meditationmusic,mantraforkids,mantrajaap,navkarjaap,mantraforpositiveenergy",CtTMILyOtNo
,True,01 - Mahabhoot Pruthvi Tattva,Mahabhoot Pruthvi Tattva | Part 1 | Suri Jayghosh Tattva Sparshana,"SURI JAYGHOSH TATTVA SPARSHANA
Mahabhoot Pruthvi Tattva

Lyrics by: पू. साध्वी श्री पुन्यनिधि श्रीजी म.सा

Anchor: Urvil Vakharia

Singers: Paras Gada, CA Devansh Doshi, Jainam Variya, Bhavik Shah, Harshit Shah, Naitik Mehta, Gaurav Chovatia, Rohan Jain \u0026 Neev Shah ( Child Voice )

Music: Hardik Pasad
Video:  @ParamPath  Prashant Chourdia",UCWhsWlAoSSFArAyqP6Dsm4A,6428,Dharmadisha,582,431,Music,2021-10-15 11:56:54,,k87L8PJkVBQ
,True,01 Aadijin Vinati,,,,0,,0,0,,1900-01-01 00:00:00,,
,True,01 Abhinandan Swami Hamara,Jain Stavan - Abhnandan Swami Hamara,"Jain Stavan - Abhnandan Swami Hamara

Welcome to
www.jainsite.com
Guidance : Muni Bhagyachandra Vijay ms


- The Most Popular Jain Website Visit
https://jainsite.com/

- Jainsite Android Mobile Application
install 
https://play.google.com/store/apps/details?id=com.mobisys.android.jainsite

- Jainsite Whatsapp Channel
Save This Mobile Number
\u0026 send Your Name \u0026 City Name
9867711171

- Subscribe Our Youtube Channel 
https://www.youtube.com/user/JAINSITE

- Jainsite Facebook Page
Like like like
https://www.facebook.com/jainsite

- Make Jainsite ID Card online
https://jainsite.com/register/add.php
Get Benifits of Jain Minority, Help for jain cast cerficate, Discount at Hospital, Medical shop, Pathalogy etc.

-Online Jain Divine Shop
https://shop.jainsite.com/

- Online Jain Dharmashala Booking At Palitana Jain Tirth(Ac - Non Ac rooms)
clcik Here
http://jaindharmashala.com

Guidance : Muni Bhagyachandra Vijay ms
More Details : info@jainsite.com

#Jain #Jainism #Jain_mp3 #jain_stavan #jain_stavan_lyrics #jain_bhajan",UCXPyo3p2YJ9VnMLZEZ1jNtg,4944,Jainsite,430,53,Nonprofits \u0026 Activism,2017-02-08 09:24:40,"Jain,Jainism,Jain storyr,Jain bhajan,Jain stavan,Jain kids story,Jain animation,Jain video songs,jain mp3,jain songs",XqYySQ0LhDw
,True,01 Anant Jinand Avadhariye,,,,0,,0,0,,1900-01-01 00:00:00,,
,True,01 Anteem Bhavana,,,,0,,0,0,,1900-01-01 00:00:00,,
,True,01 Atakayo Chit Hamarohi,,,,0,,0,0,,1900-01-01 00:00:00,,
,True,01 Chandraprabh Ni Chakari,,,,0,,0,0,,1900-01-01 00:00:00,,
"દાદા આદીશ્વરજી
દાદા આદીશ્વરજી દૂરથી આવ્યો , દાદા દરિશન ધ્યો ;
કોઈ આવે હાથી ઘોડે , કોઈ આવે ચડે પલાણે
કોઈ આવે પગપાળે , દાદાને દરબાર : હાં હાં દાદાને દરબાર
દાદા આદીશ્વરજી દૂરથી આવ્યો દાદા દરિશન ધ્યો ...
१
२
શેઠ આવે હાથી ઘોડે , રાજા આવે ચડે પલાણે
હું આવું પગપાળે , દાદાને દરબાર
હાં હાં દાદાને દરબાર , દાદા આદીશ્વરજી ..
કોઈ મૂકે સોના રૂપા , કોઈ મૂકે મહોર ,
કોઈ મૂકે ચપટી ચોખા , દાદાને દરબાર ,
હાં હાં દાદાને દરબાર , દાદા આદીશ્વરજી ..
3
શેઠ મૂકે સોના-રૂપા , રાજા મૂકે મહોર ,
હું મૂકું ચપટી ચોખા , દાદને દરબાર ,
હાં હાં દાદાને દરબાર , દાદા આદીશ્વરજી ..
४
કોઈ માંગે કંચન કાયા , આંધળો માંગે આંખ ,
કોઈ માંગે ચરણોની સેવા , દાદને દરબાર ,
હાં હાં દાદાને દરબાર , દાદા આદીશ્વરજી ..
કોઢીયો માંગે કંચન કાયા , આંધળો માંગે આંખ ,
હું માંગુ ચરણોની સેવા , દાદાને દરબાર ,
હાં હાં દાદાને દરબાર , દાદા આદીશ્વરજી ..
S
હીર વિજય ગુરૂ હીરલો ને વીર વિજય ગુણ ગાય ,
શત્રુંજયના દર્શન કરતાં આનંદ અપાર , હાં હાં આનંદઅપાર ,
દાદાઆદીશ્વરજી દૂરથી આવ્યો , દાદા દરિશન ધ્યો ...
७",True,01 Dada Adishwar Ji,,,,0,,0,0,,1900-01-01 00:00:00,,
